time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09991784,0,0,0
0.02,56.04851,167.2365,231.96,0,0,4.4,0.3,0.32397,99,0,0,0,0,0,0,0.09991784,0,0,0
0.3533334,56.05018,167.2381,231.97,0,0.03,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.3882583,56.0602,167.2478,231.99,0,-0.05,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4005865,56.0602,167.2478,231.99,0,-0.05,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4072402,56.0602,167.2478,231.99,0,-0.05,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4170291,56.0602,167.2478,231.99,0,-0.05,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4437197,56.0602,167.2478,231.99,0,0,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4495679,56.06187,167.2494,231.99,0,0.01,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4543436,56.06187,167.2494,231.99,0,0.01,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4619195,56.06187,167.2494,231.99,0,0.01,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4730485,56.06187,167.2494,231.99,0,0.01,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4858485,56.06187,167.2494,231.99,0,0.01,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.4958397,56.06187,167.2494,231.99,0,0.01,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5064662,56.06187,167.2494,231.99,0,0.02,4.4,0.3,0.32397,92,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5174834,56.06187,167.2494,231.99,0,0.02,4.4,0.3,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.528536,56.06187,167.2494,231.99,0,0.02,4.4,0.3,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5392427,56.06187,167.2494,231.99,0,0.02,4.4,0.3,0.32397,112,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5509195,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,112,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5626324,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,112,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5728455,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,112,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5839871,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,112,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.5951588,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,85,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6053292,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,85,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6161646,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,85,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6289585,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,87,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6397365,56.06355,167.251,231.99,0,0.02,4.4,0.3,0.32397,87,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.650767,56.06522,167.2526,232,0,0,4.4,0.3,0.32397,87,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6617231,56.06522,167.2526,232,0,0,4.4,0.3,0.32397,87,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6721228,56.06522,167.2526,232,0,0,4.4,0.3,0.32397,75,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6832653,56.06522,167.2526,232,0,0,4.4,0.3,0.32397,75,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.6943405,56.06522,167.2526,232,0,-0.04,4.4,0.3,0.32397,75,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7058989,56.06522,167.2526,232,0,-0.04,4.4,0.3,0.32397,75,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7168421,56.06522,167.2526,232,0,-0.04,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7289879,56.06522,167.2526,232,0,-0.04,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7396756,56.06522,167.2526,232,0,-0.04,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7513523,56.06689,167.2542,232.01,0,0,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7637578,56.06689,167.2542,232.01,0,0,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7730656,56.06689,167.2542,232.01,0,0,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7836626,56.06689,167.2542,232.01,0,0,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.7956774,56.06689,167.2542,232.01,0,0,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8054672,56.06689,167.2542,232.01,0,0.06,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8162407,56.06689,167.2542,232.01,0,0.06,4.4,0.3,0.32397,102,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8283945,56.06689,167.2542,232.01,0,0.06,4.4,0.3,0.32397,102,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8389626,56.06689,167.2542,232.01,0,0.06,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8498253,56.06689,167.2542,232.01,0,0.06,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8610111,56.06857,167.2558,232,0,-0.05,4.4,0.2,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8716702,56.06857,167.2558,232,0,-0.05,4.4,0.2,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8834811,56.06857,167.2558,232,0,-0.05,4.4,0.2,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.8945106,56.06857,167.2558,232,0,0.08,4.4,0.3,0.32397,77,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9053324,56.06857,167.2558,232,0,0.08,4.4,0.3,0.32397,77,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9166276,56.06857,167.2558,232,0,0.08,4.4,0.3,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9274939,56.06857,167.2558,232,0,0.08,4.4,0.3,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9382613,56.06857,167.2558,232,0,0.08,4.4,0.3,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9493889,56.06857,167.2558,232,0,0.08,4.4,0.3,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9606282,56.07023,167.2575,232.01,0,-0.05,4.4,0.2,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9725127,56.07023,167.2575,232.01,0,-0.05,4.4,0.2,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9832956,56.07023,167.2575,232.01,0,-0.05,4.4,0.2,0.32397,80,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
0.9947622,56.07023,167.2575,232.01,0,0,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.005388,56.07023,167.2575,232.01,0,0,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.016316,56.07023,167.2575,232.01,0,0,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.027314,56.07023,167.2575,232.01,0,0,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.038344,56.07023,167.2575,232.01,0,0,4.4,0.3,0.32397,84,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.050272,56.0719,167.2591,232.01,0,0.03,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.0615,56.0719,167.2591,232.01,0,0.03,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.072047,56.0719,167.2591,232.01,0,0.03,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.083093,56.0719,167.2591,232.01,0,0.03,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.094234,56.0719,167.2591,232.01,0,0.03,4.4,0.3,0.32397,81,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.105137,56.0719,167.2591,232.01,0,0.04,4.4,0.3,0.32397,102,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.116211,56.0719,167.2591,232.01,0,0.04,4.4,0.3,0.32397,102,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.128256,56.0719,167.2591,232.01,0,0.04,4.4,0.3,0.32397,102,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.138977,56.0719,167.2591,232.01,0,0.04,4.4,0.3,0.32397,85,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.150001,56.07357,167.2607,232.01,0,0.01,4.4,0.2,0.32397,85,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.161084,56.07357,167.2607,232.01,0,0.01,4.4,0.2,0.32397,85,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.171708,56.07357,167.2607,232.01,0,0.01,4.4,0.2,0.32397,73,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.182682,56.07357,167.2607,232.01,0,0.01,4.4,0.2,0.32397,73,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.193886,56.07357,167.2607,232.01,0,0,4.4,0.3,0.32397,73,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.204665,56.07357,167.2607,232.01,0,0,4.4,0.3,0.32397,73,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.21658,56.07357,167.2607,232.01,0,0,4.4,0.3,0.32397,74,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.227783,56.07357,167.2607,232.01,0,0,4.4,0.3,0.32397,74,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.239076,56.07357,167.2607,232.01,0,0,4.4,0.3,0.32397,74,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.249611,56.07524,167.2623,232.02,0,-0.07,4.4,0.3,0.32397,74,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.260731,56.07524,167.2623,232.02,0,-0.07,4.4,0.3,0.32397,88,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.272287,56.07524,167.2623,232.02,0,-0.07,4.4,0.3,0.32397,88,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.282521,56.07524,167.2623,232.02,0,-0.07,4.4,0.3,0.32397,88,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.294852,56.07524,167.2623,232.02,0,-0.07,4.4,0.3,0.32397,88,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.305439,56.07524,167.2623,232.02,0,0.05,4.4,0.3,0.32397,89,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.316464,56.07524,167.2623,232.02,0,0.05,4.4,0.3,0.32397,89,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.327367,56.07524,167.2623,232.02,0,0.05,4.4,0.3,0.32397,89,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.338275,56.07524,167.2623,232.02,0,0.05,4.4,0.3,0.32397,89,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.349567,56.07692,167.2639,232.02,0,-0.01,4.4,0.2,0.32397,89,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
1.361169,56.07692,167.2639,232.02,0,-0.01,4.4,0.2,0.32397,89,0,0,0.4,0.49,0.64795,0.1197777,0.09991784,0,0,0
