time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01170672,0,0,0
0.02,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0.01170672,0,0,0
0.3533334,0,0,0,0,0.02,-5.4,-4.6,-1.2112,85,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4005063,0,0,0,0,0,-5.4,-4.8,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4110489,0,0,0,0,0,-5.4,-4.8,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.415616,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4203582,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.426546,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4311101,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4362584,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4424464,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4472961,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4518465,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4561825,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4609258,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4651543,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4703837,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4758093,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4799598,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4846371,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4892105,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4940964,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.4988205,0,0,0,0,0.01,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5056676,0,0,0,0,0,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5104343,0,0,0,0,0,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5155165,0,0,0,0,0,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5201895,0,0,0,0,0,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5335642,0,0,0,0,0,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5456128,0,0,0,0,0,-5.4,-5.1,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5511193,0,0,0,0,0,-5.4,-5,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5569617,0,0,0,0,0,-5.4,-5,-1.2112,80,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5630788,0,0,0,0,0,-5.4,-5,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5787224,0,0,0,0,0,-5.4,-5,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5840889,0,0,0,0,0,-5.4,-5,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5924633,0,0,0,0,0,-5.4,-5,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.5985184,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6039205,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6102713,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6159551,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6219456,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6280208,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6334751,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6397315,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.645672,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.652576,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6589991,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,56,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6648943,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6706997,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6771958,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6829076,0,0,0,0,-0.01,-5.4,-4.9,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.6883929,0,0,0,0,-0.01,-5.4,-4.8,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.694989,0,0,0,0,-0.01,-5.4,-4.8,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.7004306,0,0,0,0,-0.01,-5.4,-4.8,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.7068183,0,0,0,0,-0.01,-5.4,-4.8,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.7123051,0,0,0,0,-0.01,-5.4,-4.8,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
0.717737,0,0,0,0,-0.01,-5.4,-4.8,-1.2112,79,0,0,-5.2,-0.13,-1.514,-0.0312,0.01170672,0,0,0
