time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0.09991784,0,0,0
0.02,34.7748,135.3757,275.95,0,-0.05,-3.9,24.5,5.62598,79,0,0,25.3,0.26,6.25112,0.002888889,0.09991784,0,0,0
0.3533334,34.7748,135.3757,275.95,0,-0.05,-3.9,24.5,5.62598,76,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.7937,59.02623,358.6524
0.4069311,34.7748,135.3757,275.94,0,0.03,-3.9,24.8,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,351.807,59.01495,358.6591
0.4179371,34.7748,135.3757,275.94,0,-0.04,-3.9,24.7,5.626,57,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8077,59.01804,358.6529
0.4239261,34.7748,135.3757,275.94,0,-0.04,-3.9,24.7,5.626,57,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.81,59.01825,358.6644
0.4377638,34.7748,135.3757,275.94,0,-0.04,-3.9,24.7,5.626,57,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8051,59.02245,358.6559
0.4426155,34.7748,135.3757,275.94,0,0.03,-3.9,25.6,5.626,66,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8064,59.01578,358.6549
0.4522244,34.7748,135.3757,275.94,0,0.03,-3.9,25.6,5.626,55,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8059,59.01403,358.659
0.4623217,34.7748,135.3757,275.94,0,0.03,-3.9,25.6,5.626,55,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8053,59.02247,358.6527
0.4728602,34.7748,135.3757,275.94,0,0.03,-3.9,25.6,5.626,55,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8027,59.02245,358.671
0.4842198,34.7748,135.3757,275.94,0,0.03,-3.9,25.6,5.626,55,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.7989,59.01828,358.6498
0.4963453,34.7748,135.3757,275.94,0,0.03,-3.9,25.6,5.626,55,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.7794,58.92662,358.9796
0.5073336,34.7748,135.3757,275.94,0,0,-3.9,24.7,5.62598,55,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,351.8065,59.12385,358.7302
