time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b
0,800,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,10.2690490860546
0.02,800,0,0,0,0,0,0,0.166666662941376,0,0,0,0,0,0,10.2690490860546
0.3533334,800,0,0,0,0,0,0,1.99999995529652,0,0,0,0,0,0,10.2690490860546
0.3714784,800,0,0,0,0,0,0,2.1111110639241,0,0,0,0,0,0,10.2690490860546
0.3855471,800,0,0,0,0,0,0,2.16666661823789,0,0,0,0,0,0,10.2690490860546
0.3916398,800,0,0,0,0,0,0,2.22222217255169,0,0,0,0,0,0,10.2690490860546
0.3965868,800,0,0,0,0,0,0,2.22222217255169,0,0,0,0,0,0,10.2690490860546
0.4119245,800,0,0,0,0,0,0,2.33333328117927,0,0,0,0,0,0,10.2690490860546
0.4174911,800,0,0,0,0,0,0,2.33333328117927,0,0,0,0,0,0,10.2690490860546
0.4384998,800,0,0,0,0,0,0,2.44444438980686,0,0,0,0,0,0,10.2690490860546
0.4614334,800,0,0,0,0,0,0,2.61111105274823,0,0,0,0,0,0,10.2690490860546
0.4845913,800,0,0,0,0,0,0,2.72222216137582,0,0,0,0,0,0,10.2690490860546
0.5036855,800,0,0,0,0,0,0,2.8333332700034,0,0,0,0,0,0,10.2690490860546
0.5234479,800,0,0,0,0,0,0,2.94444437863099,0,0,0,0,0,0,10.2690490860546
0.5418773,800,0,0,0,0,0,0,3.05555548725857,0,0,0,0,0,0,10.2690490860546
0.5621749,800,0,0,0,0,0,0,3.16666659588615,0,0,0,0,0,0,10.2690490860546
0.5804492,800,0,0,0,0,0,0,3.27777770451374,0,0,0,0,0,0,10.2690490860546
0.6024826,800,0,0,0,0,0,0,3.38888881314132,0,0,0,0,0,0,10.2690490860546
0.6165063,800,0,0,0,0,0,0,3.44444436745512,0,0,0,0,0,0,10.2690490860546
0.6354358,800,0,0,0,0,0,0,3.5555554760827,0,0,0,0,0,0,10.2690490860546
0.6517788,800,0,0,0,0,0,0,3.66666658471028,0,0,0,0,0,0,10.2690490860546
0.670553,800,0,0,0,0,0,0,3.77777769333787,0,0,0,0,0,0,10.2690490860546
0.6884887,800,0,0,0,0,0,0,3.83333324765166,0,0,0,0,0,0,10.2690490860546
0.705933,800,0,0,0,0,0,0,3.94444435627925,0,0,0,0,0,0,10.2690490860546
0.7226675,800,0,0,0,0,0,0,4.05555546490683,0,0,0,0,0,0,10.2690490860546
0.7401782,800,0,0,0,0,0,0,4.16666657353441,0,0,0,0,0,0,10.2690490860546
0.7597737,800,0,0,0,0,0,0,4.22222212784821,0,0,0,0,0,0,10.2690490860546
0.7728909,800,0,0,0,0,0,0,4.33333323647579,0,0,0,0,0,0,10.2690490860546
0.7889348,800,0,0,0,0,0,0,4.38888879078958,0,0,0,0,0,0,10.2690490860546
0.8060659,800,0,0,0,0,0,0,4.49999989941717,0,0,0,0,0,0,10.2690490860546
0.8221985,800,0,0,0,0,0,0,4.61111100804475,0,0,0,0,0,0,10.2690490860546
0.8386465,800,0,0,0,0,0,0,4.66666656235854,0,0,0,0,0,0,10.2690490860546
0.8556091,800,0,0,0,0,0,0,4.77777767098613,0,0,0,0,0,0,10.2690490860546
0.8723114,800,0,0,0,0,0,0,4.88888877961371,0,0,0,0,0,0,10.2690490860546
0.8892654,800,0,0,0,0,0,0,4.94444433392751,0,0,0,0,0,0,10.2690490860546
0.9063073,800,0,0,0,0,0,0,5.05555544255509,0,0,0,0,0,0,10.2690490860546
0.9235674,800,0,0,0,0,0,0,5.16666655118267,0,0,0,0,0,0,10.2690490860546
0.9404185,800,0,0,0,0,0,0,5.27777765981026,0,0,0,0,0,0,10.2690490860546
0.9575371,800,0,0,0,0,0,0,5.33333321412405,0,0,0,0,0,0,10.2690490860546
0.9740322,800,0,0,0,0,0,0,5.44444432275164,0,0,0,0,0,0,10.2690490860546
0.9909359,800,0,0,0,0,0,0,5.55555543137922,0,0,0,0,0,0,10.2690490860546
1.007969,800,0,0,0,0,0,0,5.61111098569301,0,0,0,0,0,0,10.2690490860546
1.024978,800,0,0,0,0,0,0,5.7222220943206,0,0,0,0,0,0,10.2690490860546
1.042896,800,0,0,0,0,0,0,5.83333320294818,0,0,0,0,0,0,10.2690490860546
1.059731,800,0,0,0,0,0,0,5.88888875726197,0,0,0,0,0,0,10.2690490860546
1.077041,800,0,0,0,0,0,0,5.99999986588956,0,0,0,0,0,0,10.2690490860546
1.095021,800,0,0,0,0,0,0,6.11111097451714,0,0,0,0,0,0,10.2690490860546
1.112263,800,0,0,0,0,0,0,6.22222208314473,0,0,0,0,0,0,10.2690490860546
1.129499,800,0,0,0,0,0,0,6.27777763745852,0,0,0,0,0,0,10.2690490860546
1.147259,800,0,0,0,0,0,0,6.3888887460861,0,0,0,0,0,0,10.2690490860546
1.164287,800,0,0,0,0,0,0,6.49999985471369,0,0,0,0,0,0,10.2690490860546
1.180875,800,0,0,0,0,0,0,6.61111096334127,0,0,0,0,0,0,10.2690490860546
1.198066,800,0,0,0,0,0,0,6.66666651765506,0,0,0,0,0,0,10.2690490860546
1.214353,800,0,0,0,0,0,0,6.77777762628265,0,0,0,0,0,0,10.2690490860546
1.231322,800,0,0,0,0,0,0,6.88888873491023,0,0,0,0,0,0,10.2690490860546
1.248796,800,0,0,0,0,0,0,6.94444428922403,0,0,0,0,0,0,10.2690490860546
1.265266,800,0,0,0,0,0,0,7.05555539785161,0,0,0,0,0,0,10.2690490860546
1.282099,800,0,0,0,0,0,0,7.16666650647919,0,0,0,0,0,0,10.2690490860546
1.298868,800,0,0,0,0,0,0,7.22222206079299,0,0,0,0,0,0,10.2690490860546
1.316211,800,0,0,0,0,0,0,7.33333316942057,0,0,0,0,0,0,10.2690490860546
1.333337,800,0,0,0,0,0,0,7.44444427804816,0,0,0,0,0,0,10.2690490860546
1.350537,800,0,0,0,0,0,0,7.55555538667574,0,0,0,0,0,0,10.2690490860546
1.367134,800,0,0,0,0,0,0,7.61111094098953,0,0,0,0,0,0,10.2690490860546
1.383988,800,0,0,0,0,0,0,7.72222204961712,0,0,0,0,0,0,10.2690490860546
1.401902,800,0,0,0,0,0,0,7.8333331582447,0,0,0,0,0,0,10.2690490860546
1.432002,800,0,0,0,0,0,0,7.99999982118608,0,0,0,0,0,0,10.2690490860546
1.44964,800,9.03006047010422,0,5.15167412319676,0,0.0515167400804787,0,8.05555537549987,0,2.27351731549592,0,0,0,0,10.2690490860546
1.468468,800,14.3214613199234,0,8.17043273768479,0,0.214925391181706,0,8.16666648412745,0,3.60574443569314,0,0,0,0,10.2690490860546
1.484051,800,19.9699223041534,0,11.3928951325583,0,0.442783288739851,0,8.27777759275503,0,5.02786933685694,0,0,0,0,10.2690490860546
1.500444,800,24.6447026729584,0,14.0598700811017,0,0.723980684076634,0,8.38888870138262,0,6.20484862174713,0,0,0,0,10.2690490860546
1.503725,800,24.6447026729584,0,14.0598700811017,0,0.723980684076634,0,8.38888870138262,0,6.20484862174713,0,0,0,0,10.2690490860546
1.516186,800,30.5468738079071,0,17.4270748088286,0,0.898251428269665,0,8.44444425569641,0,7.69085066113007,0,0,0,0,10.2690490860546
1.532523,800,34.2851728200912,0,19.5597845896324,0,1.28944711131841,0,8.55555536432399,0,8.63205006536882,0,0,0,0,10.2690490860546
